question,answer,category,source
What is Azure?,"Azure is a flexible and open cloud platform that enables you to quickly build, deploy, and manage applications in your data center. Azure supports all major operating systems, languages, or development tools and integrates public cloud applications with the existing IT infrastructure.

Azure offers international standard Service Level Agreements that enable you to build and run highly available applications without having to focus on the infrastructure. It provides the ability to automatically repair operating systems and services and has built-in network load balancing and hardware error recovering capabilities. It supports the deployment models that allow you to upgrade applications with no downtime.

Azure enables you to generate applications in any language and by any framework or tool; Azure utilizes the public functions and services of open REST protocol. Azure’s client libraries are available in a variety of programming languages, are published under open source licenses and hosted on GitHub.

Azure offers a flexible cloud platform that meets the needs of any application.",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-1
What are the prices of Azure services in China?,,1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-2
Are Azure services in China the same as Azure services in other areas?,"In China, <a id=""support_faq_wa"" href=""//www.azure.cn/"">Azure</a> is operated by Shanghai Blue Cloud Technology Co., Ltd., a wholly-owned subsidiary of Beijing 21Vianet Broadband Data Center Co., Ltd. (abbreviated as “21Vianet”). 21Vianet is China’s largest neutral third-party Internet infrastructure service telecommunications provider to which Microsoft has authorized technologies. In China, Azure combines Microsoft’s global technologies and 21Vianet’s local operating experience to build an enterprise-level international cloud computing platform for China.

Outside China, <a id=""support_faq_mic"" href=""//azure.microsoft.com/"">Microsoft Azure is operated by Microsoft itself</a>. China’s Azure customers will be able to enjoy entirely the same user experiences and service level as customers in other areas.",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-3
What is an SLA (Service Level Agreement)? What kind of SLA does Azure offer in China?,"We provide international class Service Level Agreements for each of the official and commercial Azure services. If the corresponding service level is not reached, the customer can enjoy the corresponding service fee deduction. Details on SLAs provided by Azure in China are listed at: <a id=""FAQ-2"" href=""/support/legal/sla/"" class=""single-link"">Service Level Agreements</a>.",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-4
Any examples of success stories of Azure in China?,"In China, a large number of enterprises like GMW.cn, Linekong, Spring Airlines, Mobike, Digital China, Coca Cola, Kingdee, PPTV, ChinaCache, and Qoros have landed onto the Azure platform in China. Please go to the <a id=""FAQ-3"" href=""/partnerancasestudy/case-studies/"">Success Stories</a> page for more information on these cases.",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-5
How are Virtual Machines charged? Why does my virtual machine still incur costs when it’s closed?,"Virtual Machines billing is divided into two parts: the cost of the virtual machine itself and the cost produced by the disk (divided into hosting disk and non-hosting disk), so as long as your virtual machine and the disk are not deleted, this part of the disk storage cost always exists. Please refer to the<a href=""/pricing/details/storage/""> Price Details of Disk Storage</a> for billing standards.

In addition, you should note that two virtual machine statuses “Suspended” and “Suspended (de-allocated)” are charged differently. Please refer to the following table:",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-6
"How do I select among Azure computing services: Web Apps, Cloud Services or Virtual Machines? If I’m an enterprise user, which service should I select to migrate the existing enterprise applications to the Azure cloud computing platform when provided with these three different computing capabilities?","According to the following characteristics, you can select the service that is suitable for your needs:",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-7
How can Azure services in China ensure the security of users’ data and services?,"The security and stability of Cloud Services have always been the focus of the industry. As the first international public cloud service landed in China, Microsoft Azure operated by 21Vianet has gained recognition from many industry users, and provided users with reliable, flexible and highly valuable public Cloud Services.

In full compliance with China’s policies and regulations, Azure data service in China provides up to six geo-redundant backups, distributed in 2 data centers (China North and China East). In addition, with decades of experience in providing enterprise customers with online services which are applied in the Azure platform, we strive to keep the leading position in the industry in terms of security, privacy and control and compliance practices.

For more details, see the <a id=""support_faq7_tru"" href=""//www.trustcenter.cn/zh-cn/"">Data Security</a>, <a id=""support_faq7_sec"" href=""//www.trustcenter.cn/zh-cn/security/"">Privacy</a> and <a id=""support_faq7_pri"" href=""//www.trustcenter.cn/zh-cn/privacy/"">FAQ</a> pages in the Azure <a id=""support_faq7_faq"" href=""//www.trustcenter.cn/zh-cn/resources/FAQ.html"">Trust Center</a>.",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-8
"I have an MSDN subscription, and when I enable “Azure Benefit” for my account, is this service also available in Azure China?","No. China's Azure service is operated by 21Vianet. The Azure Benefit in your account can only be operated on platforms in other areas of Azure. MSDN accounts cannot be enabled on Azure China's platform operated by 21Vianet. If you're interested in applying for one of the Microsoft Azure services operated by 21Vianet, please fill out the <a id=""FAQ-7"" href=""/pricing/1rmb-trial/"">Azure Trial Application Form</a> to experience Azure with the 1RMB Trial plan.",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-9
Does Azure support open-source software in China?,"Azure supports a large number of open source applications, frameworks and languages, and the number is still growing. We understand that developers want to use the most suitable tools based on their own experience, skill, tool and application needs, and our goal is to allow developers to choose tools as needed.

For open source code, please refer to <a id=""FAQ-8"" href=""//github.com/Azure?utf8=%E2%9C%93&q=azure-sdk&type=&language="">Microsoft Azure SDK</a>.",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-10
