Document.id,Document.questions,Document.modifiedQuestion,Document.answer,Document.modifiedAnswer,Document.categories,Document.rowId,Document.urls
9f028d3a32de9f69c81b635922630ae7,什么是标准预付费订阅？有什么特点？,," 标准预付费订阅需要通过预付费方式进行购买。按照用户的实际使用量扣减余额，不支持超额使用，当余额为 0 时服务将被即刻停用，需要充值才能继续使用。标准预付费订阅采用线上支付最低预付充值金额为 1,000 元，采用电汇支付最低预付金额为 5,000 元，有效期为单次充值后 12 个月 。 *   [标准预付产品详情](/offers/ms-mc-arz-33p/)*   [我要购买](/pricing/pia-waiting-list/?form-type=identityauth/)*   [标准预付费订阅注册流程](/pricing/billing/azure-pia-application-and-signup/)","标准预付费订阅需要通过预付费方式进行购买。按照用户的实际使用量扣减余额，不支持超额使用，当余额为 0 时服务将被即刻停用，需要充值才能继续使用。标准预付费订阅采用线上支付最低预付充值金额为 1,000 元，采用电汇支付最低预付金额为 5,000 元，有效期为单次充值后 12 个月 。 *   [标准预付产品详情](https://www.azure.cn/offers/ms-mc-arz-33p/)*   [我要购买](https://www.azure.cn/pricing/pia-waiting-list/?form-type=identityauth/)*   [标准预付费订阅注册流程](https://docs.azure.cn/zh-cn/billing/billing-sign-up-azure-account-and-get-a-pia-subscription)",注册问题,16,https://www.azure.cn/support/faq/
9f028d3a32de9f69c81b635922630ae7,标准预付费订阅,," 标准预付费订阅需要通过预付费方式进行购买。按照用户的实际使用量扣减余额，不支持超额使用，当余额为 0 时服务将被即刻停用，需要充值才能继续使用。标准预付费订阅采用线上支付最低预付充值金额为 1,000 元，采用电汇支付最低预付金额为 5,000 元，有效期为单次充值后 12 个月 。 *   [标准预付产品详情](/offers/ms-mc-arz-33p/)*   [我要购买](/pricing/pia-waiting-list/?form-type=identityauth/)*   [标准预付费订阅注册流程](/pricing/billing/azure-pia-application-and-signup/)","标准预付费订阅需要通过预付费方式进行购买。按照用户的实际使用量扣减余额，不支持超额使用，当余额为 0 时服务将被即刻停用，需要充值才能继续使用。标准预付费订阅采用线上支付最低预付充值金额为 1,000 元，采用电汇支付最低预付金额为 5,000 元，有效期为单次充值后 12 个月 。 *   [标准预付产品详情](https://www.azure.cn/offers/ms-mc-arz-33p/)*   [我要购买](https://www.azure.cn/pricing/pia-waiting-list/?form-type=identityauth/)*   [标准预付费订阅注册流程](https://docs.azure.cn/zh-cn/billing/billing-sign-up-azure-account-and-get-a-pia-subscription)",注册问题,16,https://www.azure.cn/support/faq/
9f028d3a32de9f69c81b635922630ae7,标准预付费订阅是什么？,," 标准预付费订阅需要通过预付费方式进行购买。按照用户的实际使用量扣减余额，不支持超额使用，当余额为 0 时服务将被即刻停用，需要充值才能继续使用。标准预付费订阅采用线上支付最低预付充值金额为 1,000 元，采用电汇支付最低预付金额为 5,000 元，有效期为单次充值后 12 个月 。 *   [标准预付产品详情](/offers/ms-mc-arz-33p/)*   [我要购买](/pricing/pia-waiting-list/?form-type=identityauth/)*   [标准预付费订阅注册流程](/pricing/billing/azure-pia-application-and-signup/)","标准预付费订阅需要通过预付费方式进行购买。按照用户的实际使用量扣减余额，不支持超额使用，当余额为 0 时服务将被即刻停用，需要充值才能继续使用。标准预付费订阅采用线上支付最低预付充值金额为 1,000 元，采用电汇支付最低预付金额为 5,000 元，有效期为单次充值后 12 个月 。 *   [标准预付产品详情](https://www.azure.cn/offers/ms-mc-arz-33p/)*   [我要购买](https://www.azure.cn/pricing/pia-waiting-list/?form-type=identityauth/)*   [标准预付费订阅注册流程](https://docs.azure.cn/zh-cn/billing/billing-sign-up-azure-account-and-get-a-pia-subscription)",注册问题,16,https://www.azure.cn/support/faq/
4a2a029a958c75a23fae750f80f9f992,1 元试用订阅,," 这是由世纪互联运营的 Microsoft Azure 所推出的试用优惠活动，您可通过在线方式注册并付款 1 元人民币，激活您的 1 元试用订阅，获取高达 1,500 元 Azure 服务使用额度，有效期一个月。 *   [1 元试用优惠详情](/offers/ms-mc-azr-44p/)*   [立即申请试用](/pricing/1rmb-trial-full/?form-type=identityauth/)*   [试用注册流程](/pricing/billing/azure-1rmb-trial-application-and-signup/)","这是由世纪互联运营的 Microsoft Azure 所推出的试用优惠活动，您可通过在线方式注册并付款 1 元人民币，激活您的 1 元试用订阅，获取高达 1,500 元 Azure 服务使用额度，有效期一个月。 *   [1 元试用优惠详情](https://www.azure.cn/offers/ms-mc-azr-44p/)*   [立即申请试用](https://www.azure.cn/pricing/1rmb-trial-full/?form-type=identityauth/)*   [1 元试用订阅注册流程](https://docs.azure.cn/zh-cn/billing/billing-sign-up-azure-account-with-1rmb-trial-subscription)",注册问题,15,https://www.azure.cn/support/faq/
4a2a029a958c75a23fae750f80f9f992,1 元试用订阅是什么？,," 这是由世纪互联运营的 Microsoft Azure 所推出的试用优惠活动，您可通过在线方式注册并付款 1 元人民币，激活您的 1 元试用订阅，获取高达 1,500 元 Azure 服务使用额度，有效期一个月。 *   [1 元试用优惠详情](/offers/ms-mc-azr-44p/)*   [立即申请试用](/pricing/1rmb-trial-full/?form-type=identityauth/)*   [试用注册流程](/pricing/billing/azure-1rmb-trial-application-and-signup/)","这是由世纪互联运营的 Microsoft Azure 所推出的试用优惠活动，您可通过在线方式注册并付款 1 元人民币，激活您的 1 元试用订阅，获取高达 1,500 元 Azure 服务使用额度，有效期一个月。 *   [1 元试用优惠详情](https://www.azure.cn/offers/ms-mc-azr-44p/)*   [立即申请试用](https://www.azure.cn/pricing/1rmb-trial-full/?form-type=identityauth/)*   [1 元试用订阅注册流程](https://docs.azure.cn/zh-cn/billing/billing-sign-up-azure-account-with-1rmb-trial-subscription)",注册问题,15,https://www.azure.cn/support/faq/
4a2a029a958c75a23fae750f80f9f992,什么是 1 元试用订阅？,," 这是由世纪互联运营的 Microsoft Azure 所推出的试用优惠活动，您可通过在线方式注册并付款 1 元人民币，激活您的 1 元试用订阅，获取高达 1,500 元 Azure 服务使用额度，有效期一个月。 *   [1 元试用优惠详情](/offers/ms-mc-azr-44p/)*   [立即申请试用](/pricing/1rmb-trial-full/?form-type=identityauth/)*   [试用注册流程](/pricing/billing/azure-1rmb-trial-application-and-signup/)","这是由世纪互联运营的 Microsoft Azure 所推出的试用优惠活动，您可通过在线方式注册并付款 1 元人民币，激活您的 1 元试用订阅，获取高达 1,500 元 Azure 服务使用额度，有效期一个月。 *   [1 元试用优惠详情](https://www.azure.cn/offers/ms-mc-azr-44p/)*   [立即申请试用](https://www.azure.cn/pricing/1rmb-trial-full/?form-type=identityauth/)*   [1 元试用订阅注册流程](https://docs.azure.cn/zh-cn/billing/billing-sign-up-azure-account-with-1rmb-trial-subscription)",注册问题,15,https://www.azure.cn/support/faq/
a89934ef2e510191b150376883fbfa95,ICP 备案所需材料？,,"#### 1. 公司备案：\n\n*   主办者证件：营业执照（企业）、组织机构代码证（仅限非企业机构）\n*   网站负责人证件：指公司员工身份证或护照（护照仅限非大陆境内人士）\n*   主体负责人证件：指法人身份证或护照（护照仅限非大陆境内人士）\n*   网站真实性核验单：请在备案系统首页""报备必读""中下载\n*   网络安全责任书：请在备案系统首页""报备必读""中下载\n*   域名证书：如果域名是在境内注册，请直接联系域名注册商提供信息；如果域名是境外注册，请在网上通过 whois 查询信息并截图\n*   法人授权书（仅个别用户需要，请查看""管局特殊要求""）：请在备案系统首页""报备必读""中下载\n*   居住证：仅个别用户需要，请查看""管局特殊要求""\n\n#### 2. 个人备案：\n\n*   主办者+网站负责人+主体负责人：要求是同一人，需提供身份证（非大陆境内人士可以提供护照或台胞证）\n*   网站真实性核验单：请在备案系统首页""报备必读""中下载\n*   网络安全责任书：请在备案系统首页""报备必读""中下载\n*   域名证书：如果域名是在境内注册，请直接联系域名注册商提供信息；如果域名是境外注册，请在网上通过 whois 查询信息并截图\n*   居住证：仅个别用户需要，请查看""管局特殊要求""\n\n#### 3. 注意：以上资料原件拍照或者原件彩色扫描件在备案系统直接上传；面签时请携带""网站真实性核验单+网络安全责任书""原件。",,icp,69,https://www.azure.cn/icp/icp-faq/
a89934ef2e510191b150376883fbfa95,ICP 备案需要哪些材料？,,"#### 1. 公司备案：\n\n*   主办者证件：营业执照（企业）、组织机构代码证（仅限非企业机构）\n*   网站负责人证件：指公司员工身份证或护照（护照仅限非大陆境内人士）\n*   主体负责人证件：指法人身份证或护照（护照仅限非大陆境内人士）\n*   网站真实性核验单：请在备案系统首页""报备必读""中下载\n*   网络安全责任书：请在备案系统首页""报备必读""中下载\n*   域名证书：如果域名是在境内注册，请直接联系域名注册商提供信息；如果域名是境外注册，请在网上通过 whois 查询信息并截图\n*   法人授权书（仅个别用户需要，请查看""管局特殊要求""）：请在备案系统首页""报备必读""中下载\n*   居住证：仅个别用户需要，请查看""管局特殊要求""\n\n#### 2. 个人备案：\n\n*   主办者+网站负责人+主体负责人：要求是同一人，需提供身份证（非大陆境内人士可以提供护照或台胞证）\n*   网站真实性核验单：请在备案系统首页""报备必读""中下载\n*   网络安全责任书：请在备案系统首页""报备必读""中下载\n*   域名证书：如果域名是在境内注册，请直接联系域名注册商提供信息；如果域名是境外注册，请在网上通过 whois 查询信息并截图\n*   居住证：仅个别用户需要，请查看""管局特殊要求""\n\n#### 3. 注意：以上资料原件拍照或者原件彩色扫描件在备案系统直接上传；面签时请携带""网站真实性核验单+网络安全责任书""原件。",,icp,69,https://www.azure.cn/icp/icp-faq/
0258dde1cafb5cbdd487e82647e80a7c,Site Recovery 可以保护哪些计算机？,,*   Azure VM：Site Recovery 可复制任意在支持的 Azure VM 上运行的工作负荷\n*   Hyper-V 虚拟机：Site Recovery 可以保护 Hyper-V VM 上运行的任何工作负荷。\n*   物理服务器：Site Recovery 可以保护运行 Windows 或 Linux 的物理服务器。\n*   VMware 虚拟机：Site Recovery 可以保护 VMware VM 上运行的任何工作负荷。,"Site Recovery 可以保护以下计算机：
*   Azure VM：Site Recovery 可复制任意在支持的 Azure VM 上运行的工作负荷\n*   Hyper-V 虚拟机：Site Recovery 可以保护 Hyper-V VM 上运行的任何工作负荷。\n*   物理服务器：Site Recovery 可以保护运行 Windows 或 Linux 的物理服务器。\n*   VMware 虚拟机：Site Recovery 可以保护 VMware VM 上运行的任何工作负荷。",site recovery,556,https://docs.azure.cn/site-recovery/site-recovery-faq
90414bb3184a2d5bb9659cff4f2bedc5,可以多久复制数据一次？,Azure Site Recovery 可以多久复制数据一次？,*   Hyper-V：可以每隔 30 秒（高级存储除外）、5 分钟或 15 分钟复制一次 Hyper-V VM。 如果已设置 SAN 复制，则复制将是同步的。\n*   VMware 和物理服务器： 复制频率无关紧要。 复制是连续的。,,site recovery,552,https://docs.azure.cn/site-recovery/site-recovery-faq
a7499633589ccc8b186006ea6bf041bc,Azure VM IP地址有哪几种类型？,,*   专用： 分配到每个 VM 中的每个 NIC。 使用静态或动态方法分配地址。 应该分配 VNet 子网设置中指定的范围内的专用 IP 地址。 将为通过经典部署模型部署的资源分配专用 IP 地址，即使它们未连接到 VNet。 使用动态方法分配的专用 IP 地址将仍分配给某个资源，直到该资源被删除（VM 或云服务部署槽）。 如果 VM 在处于停止（解除分配）状态后重新启动，使用动态方法分配的的专用 IP 地址可能会更改。 使用静态方法分配的专用 IP 地址将仍分配给某个资源，直到该资源被删除。 如果需要确保在删除资源之前，该资源的专用 IP 地址永远不会更改，请使用静态方法分配专用 IP 地址。\n*   公共： 选择性地分配给附加到通过 Azure Resource Manager 部署模型部署的 VM 的 NIC。 可以使用静态或动态分配方法分配地址。 通过经典部署模型部署的所有 VM 和云服务角色实例位于分配有动态公共虚拟 IP (VIP) 地址的云服务中。 可以选择性地将某个公共静态 IP 地址（称为[保留 IP 地址](https://docs.azure.cn/virtual-network/virtual-networks-reserved-public-ip)）分配为 VIP。 可将公共 IP 地址分配给通过经典部署模型部署的单个 VM 或云服务角色实例。 这些地址称为[实例级公共 IP (ILPIP](https://docs.azure.cn/virtual-network/virtual-networks-instance-level-public-ip) 地址，可动态分配。,,virtual network,765,https://docs.azure.cn/virtual-network/virtual-networks-faq
a7499633589ccc8b186006ea6bf041bc,可向 VM 分配哪些不同类型的 IP 地址？,,*   专用： 分配到每个 VM 中的每个 NIC。 使用静态或动态方法分配地址。 应该分配 VNet 子网设置中指定的范围内的专用 IP 地址。 将为通过经典部署模型部署的资源分配专用 IP 地址，即使它们未连接到 VNet。 使用动态方法分配的专用 IP 地址将仍分配给某个资源，直到该资源被删除（VM 或云服务部署槽）。 如果 VM 在处于停止（解除分配）状态后重新启动，使用动态方法分配的的专用 IP 地址可能会更改。 使用静态方法分配的专用 IP 地址将仍分配给某个资源，直到该资源被删除。 如果需要确保在删除资源之前，该资源的专用 IP 地址永远不会更改，请使用静态方法分配专用 IP 地址。\n*   公共： 选择性地分配给附加到通过 Azure Resource Manager 部署模型部署的 VM 的 NIC。 可以使用静态或动态分配方法分配地址。 通过经典部署模型部署的所有 VM 和云服务角色实例位于分配有动态公共虚拟 IP (VIP) 地址的云服务中。 可以选择性地将某个公共静态 IP 地址（称为[保留 IP 地址](https://docs.azure.cn/virtual-network/virtual-networks-reserved-public-ip)）分配为 VIP。 可将公共 IP 地址分配给通过经典部署模型部署的单个 VM 或云服务角色实例。 这些地址称为[实例级公共 IP (ILPIP](https://docs.azure.cn/virtual-network/virtual-networks-instance-level-public-ip) 地址，可动态分配。,,virtual network,765,https://docs.azure.cn/virtual-network/virtual-networks-faq
d7199ab575d2814903336b6f05602427,如何更新到最新版的远程监控预配置解决方案，以便使用 IoT 中心设备管理功能？,,*   如果从 [https://www.azureiotsuite.cn/](https://www.azureiotsuite.cn/) 站点部署预配置解决方案，则始终部署的是最新版解决方案的全新实例。\n*   如果使用命令行部署预配置解决方案，可以使用新代码更新现有部署。 请参阅 GitHub [存储库](https://github.com/Azure/azure-iot-remote-monitoring)中的[云部署](https://github.com/Azure/azure-iot-remote-monitoring/blob/master/Docs/cloud-deployment.md)。,,iot suite,451,https://docs.azure.cn/iot-suite/iot-suite-v1-faq
d7199ab575d2814903336b6f05602427,如何更新到最新版的远程监控预配置解决方案？,,*   如果从 [https://www.azureiotsuite.cn/](https://www.azureiotsuite.cn/) 站点部署预配置解决方案，则始终部署的是最新版解决方案的全新实例。\n*   如果使用命令行部署预配置解决方案，可以使用新代码更新现有部署。 请参阅 GitHub [存储库](https://github.com/Azure/azure-iot-remote-monitoring)中的[云部署](https://github.com/Azure/azure-iot-remote-monitoring/blob/master/Docs/cloud-deployment.md)。,,iot suite,451,https://docs.azure.cn/iot-suite/iot-suite-v1-faq
d3aded11df07d7459cb12bd4f14c4ac0,在 Azure 门户中删除资源组与在 azureiotsuite.cn 中对预配置解决方案单击删除之间的区别是什么？,,*   如果在 [azureiotsuite.cn](https://www.azureiotsuite.cn/) 中删除预配置解决方案，则会删除在创建预配置解决方案时预配的所有资源。 如果向资源组添加了其他资源，则也会删除这些资源。 \n*   如果删除 [Azure 门户](https://portal.azure.cn/)中的资源组，则只会删除该资源组中的资源。 此外还需在 [Azure 门户](https://portal.azure.cn/)中删除与预配置解决方案关联的 Azure Active Directory 应用程序。,,iot suite,439,https://docs.azure.cn/iot-suite/iot-suite-v1-faq
d3aded11df07d7459cb12bd4f14c4ac0,在 Azure 门户中删除资源组与在 azureiotsuite.cn 中对预配置解决方案单击删除有什么区别?,,*   如果在 [azureiotsuite.cn](https://www.azureiotsuite.cn/) 中删除预配置解决方案，则会删除在创建预配置解决方案时预配的所有资源。 如果向资源组添加了其他资源，则也会删除这些资源。 \n*   如果删除 [Azure 门户](https://portal.azure.cn/)中的资源组，则只会删除该资源组中的资源。 此外还需在 [Azure 门户](https://portal.azure.cn/)中删除与预配置解决方案关联的 Azure Active Directory 应用程序。,,iot suite,439,https://docs.azure.cn/iot-suite/iot-suite-v1-faq
0321d3636041a208e4896e37463aea15,Azure 中继是什么？,,[Azure 中继服务](https://docs.azure.cn/service-bus-relay/relay-what-is-it)可以帮助你以更安全的方式将企业网络中驻留的服务公开给公有云，从而改进混合应用程序的使用。 可以在不打开防火墙连接的情况下公开服务，不需对企业网络基础结构进行干预性更改。,,service bus-relay,515,https://docs.azure.cn/service-bus-relay/relay-faq
0321d3636041a208e4896e37463aea15,什么是 Azure 中继？,,[Azure 中继服务](https://docs.azure.cn/service-bus-relay/relay-what-is-it)可以帮助你以更安全的方式将企业网络中驻留的服务公开给公有云，从而改进混合应用程序的使用。 可以在不打开防火墙连接的情况下公开服务，不需对企业网络基础结构进行干预性更改。,,service bus-relay,515,https://docs.azure.cn/service-bus-relay/relay-faq
32a76847115589f6f2dd5b6e9ac79c46,Azure 服务总线是什么？,,[Azure 服务总线](https://docs.azure.cn/service-bus-messaging/service-bus-messaging-overview)是一个异步消息传送云平台，可允许在分离的系统之间发送数据。 Microsoft 以服务的形式提供此功能，这表示不需要托管任何自有硬件就能使用它。,,service bus-messaging,499,https://docs.azure.cn/service-bus-messaging/service-bus-faq
32a76847115589f6f2dd5b6e9ac79c46,什么是 Azure 服务总线？,,[Azure 服务总线](https://docs.azure.cn/service-bus-messaging/service-bus-messaging-overview)是一个异步消息传送云平台，可允许在分离的系统之间发送数据。 Microsoft 以服务的形式提供此功能，这表示不需要托管任何自有硬件就能使用它。,,service bus-messaging,499,https://docs.azure.cn/service-bus-messaging/service-bus-faq
c4fbd8920ee028b3121da519b51abf39,API 管理导入API是不是有什么限制或已知问题？,API 管理导入 API 是否存在限制或已知问题？,[Open API(Swagger)、WSDL 和 WADL 格式的已知问题和限制](https://docs.azure.cn/api-management/api-management-api-import-restrictions)。,,api management,110,https://docs.azure.cn/api-management/api-management-faq
c4fbd8920ee028b3121da519b51abf39,API 管理导入API有什么已知问题？,API 管理导入 API 是否存在限制或已知问题？,[Open API(Swagger)、WSDL 和 WADL 格式的已知问题和限制](https://docs.azure.cn/api-management/api-management-api-import-restrictions)。,,api management,110,https://docs.azure.cn/api-management/api-management-faq
c4fbd8920ee028b3121da519b51abf39,API 管理导入API有什么限制？,API 管理导入 API 是否存在限制或已知问题？,[Open API(Swagger)、WSDL 和 WADL 格式的已知问题和限制](https://docs.azure.cn/api-management/api-management-api-import-restrictions)。,,api management,110,https://docs.azure.cn/api-management/api-management-faq
c4fbd8920ee028b3121da519b51abf39,API 管理导入API有什么限制或已知问题？,API 管理导入 API 是否存在限制或已知问题？,[Open API(Swagger)、WSDL 和 WADL 格式的已知问题和限制](https://docs.azure.cn/api-management/api-management-api-import-restrictions)。,,api management,110,https://docs.azure.cn/api-management/api-management-faq
c4fbd8920ee028b3121da519b51abf39,导入 API 是否存在限制或已知问题？,API 管理导入 API 是否存在限制或已知问题？,[Open API(Swagger)、WSDL 和 WADL 格式的已知问题和限制](https://docs.azure.cn/api-management/api-management-api-import-restrictions)。,,api management,110,https://docs.azure.cn/api-management/api-management-faq
