Question,Answer,URL,ms.service,keywords
在哪里可以找到与 Azure AD 预先集成的应用程序及其功能的列表？,"Azure AD 中包含 Microsoft、应用程序服务提供商和合作伙伴提供的 2600 多个预先集成的应用程序。 所有预先集成的应用程序都支持单一登录 (SSO)。 SSO 允许用户使用组织凭据来访问应用。 某些应用程序还支持自动预配和自动取消预配。
有关预先集成的应用程序的完整列表，请参阅 [Active Directory Marketplace](https://azure.microsoft.com/marketplace/active-directory/)（Active Directory 应用商店）。",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
Azure AD、Office 365 与 Azure 之间是什么关系？,"Azure AD 为所有 Web 服务提供通用的标识和访问功能。 不管使用的是 Office 365、Azure、Intune 还是其他服务，都是在使用 Azure AD 为上述所有服务启用登录和访问管理。

可以将所有已设置为使用 Web 服务的用户定义为一个或多个 Azure AD 实例中的用户帐户。 可以在设置这些帐户时启用免费的 Azure AD 功能，例如云应用程序访问。

Azure AD 付费型服务（例如企业移动性 + 安全性）可通过综合性的企业级管理和安全解决方案来弥补其他 Web 服务（例如 Office 365 和 Azure）的不足。",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
Azure AD使用哪些方式来启用对应用程序的身份验证和单一登录？,"Azure AD 支持使用多种标准化协议（例如 SAML 2.0、OpenID Connect、OAuth 2.0 和 WS-Federation）进行身份验证和授权。 对于仅支持基于窗体的身份验证的应用程序，Azure AD 还支持密码保管和自动化登录功能。 
有关详细信息，请参阅：
 *   [Azure AD 的身份验证方案](https://docs.azure.cn/active-directory/develop/active-directory-authentication-scenarios)
 *   [Active Directory 身份验证协议](https://docs.azure.cn/active-directory/develop/active-directory-developers-guide)
 *   [Azure Active Directory 中单一登录的工作原理是什么？](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#how-does-single-sign-on-with-azure-active-directory-work)",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
Azure AD 可通过哪些不同的方式来启用对应用程序的身份验证和单一登录？,"Azure AD 支持使用多种标准化协议（例如 SAML 2.0、OpenID Connect、OAuth 2.0 和 WS-Federation）进行身份验证和授权。 对于仅支持基于窗体的身份验证的应用程序，Azure AD 还支持密码保管和自动化登录功能。 
有关详细信息，请参阅：
 *   [Azure AD 的身份验证方案](https://docs.azure.cn/active-directory/develop/active-directory-authentication-scenarios)
 *   [Active Directory 身份验证协议](https://docs.azure.cn/active-directory/develop/active-directory-developers-guide)
 *   [Azure Active Directory 中单一登录的工作原理是什么？](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#how-does-single-sign-on-with-azure-active-directory-work)",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
是否可以通过报告来查看我的 Azure AD 用户许可证何时过期？,不可以通过报告来查看我的 Azure AD 用户许可证何时过期。 此功能目前不可用。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
如果 Azure AD 应用商店中没有我需要的应用程序怎么办？,使用 Azure AD Premium，可以添加和配置所需的任何应用程序。 可以根据应用程序的功能和自己的喜好来配置 SSO 和自动预配。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
什么是自动用户预配？,使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
自动用户预配是什么？,使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
SaaS 应用程序的自动用户预配是什么？,使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
需要多长时间才能将密码写回到 Active Directory 本地？, Active Directory 密码写回实时运行。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
更改Azure AD密码时忘记现有密码怎么办？,"对于这种情况，有几个选项。 在可用的情况下，使用自助密码重置 (SSPR)。 SSPR 是否适用取决于其配置方式。 
对于 Office 365 用户，管理员可以使用 [重置用户密码](https://support.office.com/en-us/article/Admins-Reset-user-passwords-7A5D073B-7FAE-4AA5-8F96-9ECD041ABA9C?ui=en-US&rs=en-US&ad=US)中所述的步骤重置密码。
对于 Azure AD 帐户，管理员可以使用以下选项之一重置密码:
  *   [在经典管理门户中重置帐户](https://docs.azure.cn/active-directory/active-directory-create-users-reset-password)
  *   [使用 PowerShell](https://docs.microsoft.com/powershell/module/msonline/set-msoluserpassword?view=azureadps-1.0)",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
