Category,Question,Answer,Source
一般问题,什么是 Azure？,Azure 是一个灵活而开放的云平台，通过该平台，您可以在数据中心快速生成、部署和管理应用程序。Azure 支持所有主流操作系统、语言或开发工具，并且能够将公有云应用程序与现有 IT 基础设施相集成。Azure 提供国际水准的服务级别协议，使您能够构建和运行高度可用的应用程序，而不必将精力放在基础结构上。它提供了操作系统和服务自动修补功能以及内置的网络负载平衡和硬件故障恢复能力。它支持允许您在不停机的情况下升级应用程序的部署模型。Azure 使您能够使用任何语言、框架或工具来生成应用程序。使用开放式 REST 协议公开功能和服务。Azure 客户端库适用于多种编程语言，根据开放源许可发布并承载于 GitHub 上 。Azure 提供了一个灵活的云平台，可满足任何应用程序需求。*   [产品最新更新](/what-is-new/)*   [入门指南](/starter-guide/),https://www.azure.cn/support/faq/
一般问题,Azure 服务在中国的定价如何？,我们将不断更新和发布更多价格信息，您可在[价格页面](/pricing/overview/)上得到最新信息。,https://www.azure.cn/support/faq/
一般问题,中国版 Azure 和其它地区的 Azure 服务是否相同？,"在中国，[Azure](//www.azure.cn/)由北京世纪互联宽带数据中心有限公司的全资子公司上海蓝云网络科技有限公司（简称为""世纪互联""）运营。世纪互联是中国最大的电信中立第三方互联网基础设施服务提供商，微软将技术授权给世纪互联。在中国，Azure 结合了微软的全球技术和世纪互联的本地运营经验，强强联手，为中国打造了一个企业级的国际化云计 算平台。在中国以外的地区，[Microsoft Azure 由微软自行运营](//azure.microsoft.com/)。中国的 Azure 客户将能享受到与其它地区的客户完全相同的用户体验和服务等级。",https://www.azure.cn/support/faq/
一般问题,什么是服务级别协议 SLA（Service Level Agreement）？ Azure 在中国提供何种 SLA？,我们对每一项正式商用的 Azure 服务提供国际水准的服务级别协议。如果未达到相应服务级别，客户可以获得对应的的服务费抵扣。Azure 在中国提供的 SLA 详见：[https://www.azure.cn/support/legal/sla/](/support/legal/sla/),https://www.azure.cn/support/faq/
一般问题,Azure 在中国的成功案例有哪些？,在中国，CNTV、光明网、蓝港在线、锤子手机、中国电信、金蝶软件、PPTV、人人网、蓝汛通信、观致汽车等大批企业登陆中国地区的 Azure 平台，请访问[成功案例](/partnerancasestudy/case-studies/)页面浏览这些案例信息。,https://www.azure.cn/support/faq/
一般问题,如何选择 Azure 计算服务：Web 应用（Web Apps），云服务（Cloud Services）和虚机（Virtual Machines)？如果我是一个企业级的用户，面对这三种不同的计算能力，我应该选择哪一种服务，将现有的企业应用迁移到Azure云计算平台上呢？,"您可以根据以下特点，选择适合需求的服务：特点比较适合[Web 应用 Web Apps](/home/features/web-site/)1.  在 Azure 上构建高度可扩展的 Web 站点轻松部署一个高度可扩展的云环境，并且可以从很小的规模开始。2.  使用您所选择的语言和开源应用程序，比如 WordExpress，FTP，Git 或者 TFS，并轻松集成 Azure 的服务，比如 SQL 数据库，缓存，CDN 和存储。3.  Web 应用的特点在于快速部署，只能提供基本功能，比如 Application 和 Data。它不支持高级功能，比如 Startup Task，Native Code，Virtual Network等。 1.  现代的 Web 应用程序。包括客户端脚本，服务器端脚本和数据库的应用程序。并且可以横向扩展。2.  连续开发。直接从源代码库使用 Git 或者 Team Foundation 进行部署。3.  使用开源应用程序。你可以直接使用开源的应用程序，比如 WordPress 等。[云计算服务 Cloud Service](/home/features/cloud-services/)1.  在 Azure 上扩展您的企业应用程序。2.  利用丰富的 PaaS 环境，创建高度可用的，可扩展的应用程序和服务。支持高级的多层架构，自动部署和弹性计算。3.  通过虚拟网络，可以将本地局域网的网络与 Azure 公有云网络做连接。让企业网络享受公有云带来的高度弹性计算和互操作性，同时保证网络安全。1.  多层应用程序，每层都可以自我扩展。使用 Web Role 和 Worker Role，Web Role 可以响应前端的显示，而将复杂的业务放在后端进行处理。2.  先进管理。如果您的应用程序需要管理员权限、远程桌面访问或以提升的权限运行代码，您可以使用 Cloud Service。3.  私有云+公有云。你可以使用 Azure Connect 与 Azure 公有云进行点对点的连接，或者使用 Azure 虚拟网络将企业内网或者私有网络与到公有云相互连接。[虚拟机VM](/home/features/virtual-machines/)1.  提供 IaaS 服务。支持 及 Linux 操作系统。2.  轻松地在几分钟内部署和运行 Windows Server 和 Linux 虚拟机，迁移运行负载，而且无需改变现有的代码。对于基于 Windows OS 的应用来说，可以将其部署到 Hyper-V 里做成 VHD 文件 ，然后上传到 Azure 进行部署和托管。3.  支持虚拟网络，将您的局域网企业应用与公有云直接连接，享受云计算带来的便利性。1.  支持 Windows 或者 Linux。你可以将现有的基于 Windows 或者 Linux 的应用快速迁移到 Azure。2.  支持更多的服务应用程序。可以在 Azure 使用 SQL Server, MySQL，MongoDB，SharePoint 应用程序。3.  支持将已有应用程序迁移到公有云。你可以将持久化的非关系型数据保存到 Azure VHD 里。",https://www.azure.cn/support/faq/
一般问题,中国地区的 Azure 服务如何保证用户的数据和服务安全性？,"云服务的安全性和稳定性一直是业界关注的焦点。作为首个落地中国市场的国际公有云服务，由世纪互联运营的 Microsoft Azure 已经获得众多中国行业用户的认可，为广大用户带来可靠、灵活、高价值的公有云服务。 世纪互联运营的 Microsoft Azure 凭借在国内首先实现的 IaaS、PaaS、SaaS 三个层面的全方位云服务，以及可靠的本地化运营、国际品质有财务保障的月度服务级别协议、强大的数据安全保障、丰厚的客户收益等优势，获得了包括云份、云引擎（云服务）、全网负载均衡（Traffic Manager）等在内的共 6 项可信云认证，这是业界对世纪互联国际本土化云服务品质的认可。  再者，根据《GBT 22240-2008 信息安全技术信息系统安全等级保护定级指南》，公安部授权的测评机构依据《GB/T 22239-2008 信息安全技术信息系统安全等级保护基本要求》对由世纪互联运营的 Microsoft Azure 进行测评，信息安全保护等级评定为第三级 ( Information System Classified Security Protection (DJCP), Level 3 )，并且获得备案证明。 在完全符合中国政策和法规之下，中国地区的 Azure 数据服务提供分布在 2 个数据中心的（中国北部和中国东部）多达 6 个异地备份，再加上提供给企业客户在线服务方面的数十年的经验应用于 Azure 平台，我们将努力在安全性、隐私与管控和合规性实践方面保持业界领先地位。 想了解更多详情，请参阅 Azure [信任中心](//www.trustcenter.cn/zh-cn/)的[数据安全](//www.trustcenter.cn/zh-cn/security/)，[隐私](//www.trustcenter.cn/zh-cn/privacy/)及[常见问题](//www.trustcenter.cn/zh-cn/resources/FAQ.html)页面。 ",https://www.azure.cn/support/faq/
一般问题,"我有一个 MSDN 的订阅，当我为我的账户启用 ""Azure Benefit"" 的同时 ，这个服务在 Azure 中国也能使用么？","不能。中国的 Azure 服务是由世纪互联来运营的。您账户中的 ""Azure Benefit"" 仅能在 Azure 全球其他地区的平台上运营。MSDN 账户不能在 Azure 中国由世纪互联运营的平台上启用。如果您对申请一个由世纪互联运营的 Microsoft Azure 服务有兴趣的话，请填写[Azure 试用申请表](/pricing/1rmb-trial/) 。加入1元试用计划开始您的 Azure 体验。",https://www.azure.cn/support/faq/
一般问题,Azure 在中国是否支持开源软件？,Azure 支持大量开源应用程序、框架和语言，并且数量仍在不断增加。我们清楚开发人员希望使用最适合自身经验、技能和应用程序需求的工具，而我们的目标就是让开发 人员能够随意选择自己需要的工具。关于开放源代码，请参阅[https://github.com/Azure/azure-sdk-for-net/](//github.com/Azure/azure-sdk-for-net)。,https://www.azure.cn/support/faq/
一般问题,微软在由世纪互联运营的 Microsoft Azure 中扮演何种角色？,"由世纪互联运营的 Microsoft Azure 服务是在中国大陆独立运营的公有云平台，由世纪互联独立运营和销售。采用与微软服务于全球云服务的 Azure 技术，为客户提供全球一致的服 务质量保障。作为由世纪互联运营的 Microsoft Azure 客户，可获得以下服务：*   在中国大陆数据中心托管且由世纪互联独立运营的云服务。世纪互联是中国领先的互联网数据中心提供商。*   源于微软应用于全球企业客户数十年的丰富在线服务经验而开发的世界一流的 Azure 技术, 全面服务于中国的客户。",https://www.azure.cn/support/faq/
