Answer,Question,Category,Source
hello,hi,,Editorial
答：不可以。 Azure AD 不支持 LDAP 协议。,问：是否可以通过 Azure AD 设置安全的 LDAP 连接？,active directory,https://docs.azure.cn/active-directory/active-directory-faq
\n\n答： 使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。\n\n问：是否可以通过 Azure AD 设置安全的 LDAP 连接？\n\n答：不可以。 Azure AD 不支持 LDAP 协议。\n,问：SaaS 应用程序的自动用户预配是什么？,active directory,https://docs.azure.cn/active-directory/active-directory-faq
\n\n答： Azure AD 支持使用多种标准化协议（例如 SAML 2.0、OpenID Connect、OAuth 2.0 和 WS-Federation）进行身份验证和授权。 对于仅支持基于窗体的身份验证的应用程序，Azure AD 还支持密码保管和自动化登录功能。 \n\n有关详细信息，请参阅：\n\n*   [Azure AD 的身份验证方案](https://docs.azure.cn/active-directory/develop/active-directory-authentication-scenarios)\n*   [Active Directory 身份验证协议](https://docs.azure.cn/active-directory/develop/active-directory-developers-guide)\n*   [Azure Active Directory 中单一登录的工作原理是什么？](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#how-does-single-sign-on-with-azure-active-directory-work)\n\n问：SaaS 应用程序的自动用户预配是什么？\n\n答： 使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。\n\n问：是否可以通过 Azure AD 设置安全的 LDAP 连接？\n\n答：不可以。 Azure AD 不支持 LDAP 协议。\n,问：Azure AD 可通过哪些不同的方式来启用对应用程序的身份验证和单一登录？,active directory,https://docs.azure.cn/active-directory/active-directory-faq
\n\n答： Azure AD 提供多种方式供用户查看和访问其应用程序，例如：\n\n*   Azure AD 访问面板\n*   Office 365 应用程序启动器\n*   直接登录到联合应用\n*   联合、基于密码或现有应用的深层链接\n\n有关详细信息，请参阅[为用户部署 Azure AD 集成的应用程序](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#deploying-azure-ad-integrated-applications-to-users)。\n\n问：Azure AD 可通过哪些不同的方式来启用对应用程序的身份验证和单一登录？\n\n答： Azure AD 支持使用多种标准化协议（例如 SAML 2.0、OpenID Connect、OAuth 2.0 和 WS-Federation）进行身份验证和授权。 对于仅支持基于窗体的身份验证的应用程序，Azure AD 还支持密码保管和自动化登录功能。 \n\n有关详细信息，请参阅：\n\n*   [Azure AD 的身份验证方案](https://docs.azure.cn/active-directory/develop/active-directory-authentication-scenarios)\n*   [Active Directory 身份验证协议](https://docs.azure.cn/active-directory/develop/active-directory-developers-guide)\n*   [Azure Active Directory 中单一登录的工作原理是什么？](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#how-does-single-sign-on-with-azure-active-directory-work)\n\n问：SaaS 应用程序的自动用户预配是什么？\n\n答： 使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。\n\n问：是否可以通过 Azure AD 设置安全的 LDAP 连接？\n\n答：不可以。 Azure AD 不支持 LDAP 协议。\n,问：用户如何使用 Azure AD 来登录应用程序？,active directory,https://docs.azure.cn/active-directory/active-directory-faq
\n\n答： 使用 Azure AD Premium，可以添加和配置所需的任何应用程序。 可以根据应用程序的功能和自己的喜好来配置 SSO 和自动预配。 \n\n问：用户如何使用 Azure AD 来登录应用程序？\n\n答： Azure AD 提供多种方式供用户查看和访问其应用程序，例如：\n\n*   Azure AD 访问面板\n*   Office 365 应用程序启动器\n*   直接登录到联合应用\n*   联合、基于密码或现有应用的深层链接\n\n有关详细信息，请参阅[为用户部署 Azure AD 集成的应用程序](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#deploying-azure-ad-integrated-applications-to-users)。\n\n问：Azure AD 可通过哪些不同的方式来启用对应用程序的身份验证和单一登录？\n\n答： Azure AD 支持使用多种标准化协议（例如 SAML 2.0、OpenID Connect、OAuth 2.0 和 WS-Federation）进行身份验证和授权。 对于仅支持基于窗体的身份验证的应用程序，Azure AD 还支持密码保管和自动化登录功能。 \n\n有关详细信息，请参阅：\n\n*   [Azure AD 的身份验证方案](https://docs.azure.cn/active-directory/develop/active-directory-authentication-scenarios)\n*   [Active Directory 身份验证协议](https://docs.azure.cn/active-directory/develop/active-directory-developers-guide)\n*   [Azure Active Directory 中单一登录的工作原理是什么？](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#how-does-single-sign-on-with-azure-active-directory-work)\n\n问：SaaS 应用程序的自动用户预配是什么？\n\n答： 使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。\n\n问：是否可以通过 Azure AD 设置安全的 LDAP 连接？\n\n答：不可以。 Azure AD 不支持 LDAP 协议。\n,问：如果 Azure AD 应用商店中没有我需要的应用程序怎么办？,active directory,https://docs.azure.cn/active-directory/active-directory-faq
\n\n答： Azure AD 中包含 Microsoft、应用程序服务提供商和合作伙伴提供的 2600 多个预先集成的应用程序。 所有预先集成的应用程序都支持单一登录 (SSO)。 SSO 允许用户使用组织凭据来访问应用。 某些应用程序还支持自动预配和自动取消预配。\n\n有关预先集成的应用程序的完整列表，请参阅 [Active Directory Marketplace](https://azure.microsoft.com/marketplace/active-directory/)（Active Directory 应用商店）。\n\n问：如果 Azure AD 应用商店中没有我需要的应用程序怎么办？\n\n答： 使用 Azure AD Premium，可以添加和配置所需的任何应用程序。 可以根据应用程序的功能和自己的喜好来配置 SSO 和自动预配。 \n\n问：用户如何使用 Azure AD 来登录应用程序？\n\n答： Azure AD 提供多种方式供用户查看和访问其应用程序，例如：\n\n*   Azure AD 访问面板\n*   Office 365 应用程序启动器\n*   直接登录到联合应用\n*   联合、基于密码或现有应用的深层链接\n\n有关详细信息，请参阅[为用户部署 Azure AD 集成的应用程序](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#deploying-azure-ad-integrated-applications-to-users)。\n\n问：Azure AD 可通过哪些不同的方式来启用对应用程序的身份验证和单一登录？\n\n答： Azure AD 支持使用多种标准化协议（例如 SAML 2.0、OpenID Connect、OAuth 2.0 和 WS-Federation）进行身份验证和授权。 对于仅支持基于窗体的身份验证的应用程序，Azure AD 还支持密码保管和自动化登录功能。 \n\n有关详细信息，请参阅：\n\n*   [Azure AD 的身份验证方案](https://docs.azure.cn/active-directory/develop/active-directory-authentication-scenarios)\n*   [Active Directory 身份验证协议](https://docs.azure.cn/active-directory/develop/active-directory-developers-guide)\n*   [Azure Active Directory 中单一登录的工作原理是什么？](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#how-does-single-sign-on-with-azure-active-directory-work)\n\n问：SaaS 应用程序的自动用户预配是什么？\n\n答： 使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。\n\n问：是否可以通过 Azure AD 设置安全的 LDAP 连接？\n\n答：不可以。 Azure AD 不支持 LDAP 协议。\n,问：在哪里可以找到与 Azure AD 预先集成的应用程序及其功能的列表？,active directory,https://docs.azure.cn/active-directory/active-directory-faq
"这是指全局通用的密码，例如""Password""和""123456""的任何变体。","问：某些（常用）密码被拒绝并显示消息""此密码已使用多次""，这是指当前 Active Directory 中使用的密码吗？",active directory,https://docs.azure.cn/active-directory/active-directory-faq
我们使用更复杂的策略锁定帐户。 此策略基于请求的 IP 和输入的密码。 根据存在攻击的可能性，锁定持续时间也会增加。,问：是将在失败尝试次数达到特定数字后锁定帐户，还是会使用更复杂的策略？,active directory,https://docs.azure.cn/active-directory/active-directory-faq
"\n\n答： 对于这种情况，有几个选项。 在可用的情况下，使用自助密码重置 (SSPR)。 SSPR 是否适用取决于其配置方式。 \n\n对于 Office 365 用户，管理员可以使用 [重置用户密码](https://support.office.com/en-us/article/Admins-Reset-user-passwords-7A5D073B-7FAE-4AA5-8F96-9ECD041ABA9C?ui=en-US&rs=en-US&ad=US)中所述的步骤重置密码。\n\n对于 Azure AD 帐户，管理员可以使用以下选项之一重置密码：\n\n*   [在经典管理门户中重置帐户](https://docs.azure.cn/active-directory/active-directory-create-users-reset-password)\n*   [使用 PowerShell](https://docs.microsoft.com/powershell/module/msonline/set-msoluserpassword?view=azureadps-1.0)\n\n## ""安全""\n\n问：是将在失败尝试次数达到特定数字后锁定帐户，还是会使用更复杂的策略？ 我们使用更复杂的策略锁定帐户。 此策略基于请求的 IP 和输入的密码。 根据存在攻击的可能性，锁定持续时间也会增加。 \n\n问：某些（常用）密码被拒绝并显示消息""此密码已使用多次""，这是指当前 Active Directory 中使用的密码吗？ 这是指全局通用的密码，例如""Password""和""123456""的任何变体。\n\n## 应用程序访问\n\n问：在哪里可以找到与 Azure AD 预先集成的应用程序及其功能的列表？\n\n答： Azure AD 中包含 Microsoft、应用程序服务提供商和合作伙伴提供的 2600 多个预先集成的应用程序。 所有预先集成的应用程序都支持单一登录 (SSO)。 SSO 允许用户使用组织凭据来访问应用。 某些应用程序还支持自动预配和自动取消预配。\n\n有关预先集成的应用程序的完整列表，请参阅 [Active Directory Marketplace](https://azure.microsoft.com/marketplace/active-directory/)（Active Directory 应用商店）。\n\n问：如果 Azure AD 应用商店中没有我需要的应用程序怎么办？\n\n答： 使用 Azure AD Premium，可以添加和配置所需的任何应用程序。 可以根据应用程序的功能和自己的喜好来配置 SSO 和自动预配。 \n\n问：用户如何使用 Azure AD 来登录应用程序？\n\n答： Azure AD 提供多种方式供用户查看和访问其应用程序，例如：\n\n*   Azure AD 访问面板\n*   Office 365 应用程序启动器\n*   直接登录到联合应用\n*   联合、基于密码或现有应用的深层链接\n\n有关详细信息，请参阅[为用户部署 Azure AD 集成的应用程序](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#deploying-azure-ad-integrated-applications-to-users)。\n\n问：Azure AD 可通过哪些不同的方式来启用对应用程序的身份验证和单一登录？\n\n答： Azure AD 支持使用多种标准化协议（例如 SAML 2.0、OpenID Connect、OAuth 2.0 和 WS-Federation）进行身份验证和授权。 对于仅支持基于窗体的身份验证的应用程序，Azure AD 还支持密码保管和自动化登录功能。 \n\n有关详细信息，请参阅：\n\n*   [Azure AD 的身份验证方案](https://docs.azure.cn/active-directory/develop/active-directory-authentication-scenarios)\n*   [Active Directory 身份验证协议](https://docs.azure.cn/active-directory/develop/active-directory-developers-guide)\n*   [Azure Active Directory 中单一登录的工作原理是什么？](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#how-does-single-sign-on-with-azure-active-directory-work)\n\n问：SaaS 应用程序的自动用户预配是什么？\n\n答： 使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。\n\n问：是否可以通过 Azure AD 设置安全的 LDAP 连接？\n\n答：不可以。 Azure AD 不支持 LDAP 协议。\n",问：如果尝试更改 Office 365/Azure AD 密码时忘记了现有的密码，该怎么办？,active directory,https://docs.azure.cn/active-directory/active-directory-faq
