Question,Answer,score,yq_comment_a
虚拟机上的端口不通,"Azure SQL 数据库防火墙设置问题：
1. IP 地址不在白名单中
2. 在客户端和 Internet 之间的所有防火墙上面，确保 1433 端口的出站链接(outbound connection)是开放的。
3. 对于部署在 Azure 虚拟机上的客户端，除 1433 端口外，确保为客户端与 SQL 数据库之间的交互保留 Azure 客户端计算机上 11000-11999 和 14000-14999 的端口范围。
具体参考[Azure SQL 数据库常见的连接问题](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/sql-database/aog-sql-database-connection-faq#section3)。",0.779058,not-related
虚拟机上的端口不通,"可以尝试在 Azure 门户中或者使用 PowerShell.mpt 来增加 ExpressRoute 线路的带宽。 如果在创建线路的物理端口上有容量可用，则更改会成功。 
如果更改失败，这意味着当前端口上没有剩余足够的容量，需要创建具有更高带宽的新 ExpressRoute 线路；或者意味着在该位置没有额外的容量，在这种情况下将无法增加带宽。 
还必须跟进连接服务提供商，确保他们更新其网络中的限制以支持带宽增加。 不过，无法减小 ExpressRoute 线路的带宽。 必须创建具有更低带宽的新 ExpressRoute 线路并删除旧线路。",0.723329,not-related
虚拟机上的端口不通,"若要解决 FTP 问题，请执行以下步骤：
 1.  验证是否输入了正确的主机名和凭据。 有关不同类型的凭据及其使用方法的详细信息，请参阅 [Deployment credentials](https://github.com/projectkudu/kudu/wiki/Deployment-credentials)（部署凭据）。
 2.  验证防火墙是否阻止了 FTP 端口。 端口应具有以下设置：
    *   FTP 控制连接端口：21
    *   FTP 数据连接端口：989、10001-10300",0.644146,incorrect
如何创建虚拟机,"首先，创建一个虚拟网络，然后在创建虚拟机时，选择之前创建的虚拟网络，将虚拟机添加到虚拟网络中。详细步骤请参阅[如何将虚拟机添加到虚拟网络](https://docs.azure.cn/virtual-network/virtual-network-get-started-vnet-subnet)。

虚拟机放入虚拟网络后可以保证虚拟机间通过内网通信，而且可以配置 P2S S2S VPN等高级功能。

如果虚拟机在建立时没有加入虚拟网络，则之后无法将其加入一个虚拟网络。目前只能删除该虚拟机（选择保留数据磁盘），利用保留的数据磁盘的重新创建一个虚拟机，并在创建 此虚拟机时选择加入到已有的虚拟网络中。",2.29116,incorrect
如何创建虚拟机,"1. 使用 Azure 提供的 SQL Server 镜像创建的虚拟机，按照 SQL server 的费用 + 虚拟机的费用计的（目前官网上的 SQL Server 的价格包含 VM 的价格）；使用自己制作的 SQL Server 镜像创建的虚拟机，按照 Windows 或 Linux 虚拟机计费。
2. 使用 Azure 提供的 SQL Server 镜像创建的虚拟机，如果虚拟机创建成功之后，在虚拟机内部将 SQL server 卸载，SQL Server 的计费也不会停止，除非将 VM 停止取消分配或删除。",2.0555,incorrect
如何创建虚拟机,目前，中国区 Azure 虚拟机中不可以再创建虚拟机。Azure 虚拟机的 Dv3 和 Ev3 系列是支持嵌套虚拟化的，但是目前中国区 Azure 暂时还不支持创建该系列虚拟机。,1.75031,incorrect
批量创建和删除虚拟机,"若要删除已弃用的证书，请从保管库证书列表中删除旧证书。 在列表中留下想要在计算机上保留的所有证书。 这不会删除所有虚拟机中的证书。 也不会向虚拟机规模集中创建的新 VM 添加证书。 
若要从现有 VM 中删除证书，需要编写一个自定义脚本扩展，从证书存储中手动删除证书。",2.16539,not-related
批量创建和删除虚拟机,"1. 使用 Azure 提供的 SQL Server 镜像创建的虚拟机，按照 SQL server 的费用 + 虚拟机的费用计的（目前官网上的 SQL Server 的价格包含 VM 的价格）；使用自己制作的 SQL Server 镜像创建的虚拟机，按照 Windows 或 Linux 虚拟机计费。
2. 使用 Azure 提供的 SQL Server 镜像创建的虚拟机，如果虚拟机创建成功之后，在虚拟机内部将 SQL server 卸载，SQL Server 的计费也不会停止，除非将 VM 停止取消分配或删除。",2.01698,not-related
批量创建和删除虚拟机,"删除虚拟机规模集中的 VM 与解除分配 VM 的主要区别在于 `deallocate` 不会删除虚拟硬盘 (VHD)。 运行 `stop deallocate` 会产生存储费用。 采用其中一种做法可能是由于以下原因之一：
 *   不再想要支付计算费用，但要保留 VM 的磁盘状态。
 *   想要更快速地启动一组 VM，而不是扩大虚拟机规模集。
 *   出于这种方案，可能创建了自己的自动缩放引擎，并希望以更快的速度完成端到端缩放。
 *   虚拟机规模集未均匀分布在容错域或更新域。 这可能是由于有选择地删除了 VM，或者因为过度预配后，VM 被删除。 在虚拟机规模集上先运行 `stop deallocate`，并运行 `start`，可将 VM 均匀地分布到容错域或更新域。",1.96815,incorrect
如何对虚拟机备份,Azure 中的备份数据会被加密。 发送到 Azure 的数据将保持加密（静态加密）。 Microsoft 不会解密任何位置的备份数据。 备份 Azure VM 时，Azure 备份依赖于对虚拟机的加密。 例如，如果使用 Azure 磁盘加密或其他某种加密技术对 VM 进行了加密，则 Azure 备份会使用同样的加密技术来保护数据。,2.55478,incorrect
