Query,UTC DateTime,Response
技术支持,03/28/2018 08:24:10,"{""query"":""技术支持"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
技术支持,03/28/2018 06:59:17,"{""query"":""技术支持"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
技术支持,03/27/2018 22:14:28,"{""query"":""技术支持"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
技术支持,03/28/2018 03:47:21,"{""query"":""技术支持"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
没有帮助,03/28/2018 08:30:41,"{""query"":""没有帮助"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
没有帮助,03/28/2018 08:30:41,"{""query"":""没有帮助"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
产品支持,03/28/2018 08:24:41,"{""query"":""产品支持"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
产品支持,03/28/2018 08:25:42,"{""query"":""产品支持"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
产品支持,03/28/2018 08:24:26,"{""query"":""产品支持"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
产品支持,03/28/2018 08:24:26,"{""query"":""产品支持"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
产品支持,03/28/2018 08:25:42,"{""query"":""产品支持"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
产品支持,03/28/2018 08:24:56,"{""query"":""产品支持"",""intents"":[{""intent"":""Angry"",""score"":0.1557166},{""intent"":""AreYouBot"",""score"":3.38533437E-06},{""intent"":""GoodBye"",""score"":0.0214514453},{""intent"":""Greetings"",""score"":0.0408812},{""intent"":""None"",""score"":0.255338252},{""intent"":""Praise"",""score"":0.12490622}],""entities"":[]}"
