fileName,title,description,ms.service,realPath,fileLocation,URL
billing-add-change-azure-subscription-administrator," ""如何添加或更改 Azure 管理员订阅角色 """," ""描述如何添加或更改 Azure 共同管理员、服务管理员和帐户管理员。""", billing,az-docs-pr.zh-cn\billing\billing-add-change-azure-subscription-administrator.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\billing\billing-add-change-azure-subscription-administrator.md,https://docs.azure.cn/zh-cn/billing/billing-add-change-azure-subscription-administrator/
billing-cannot-login-subscription," ""无法登陆Azure账号 """," ""本文将介绍当您发生”无法登陆Azure账号”的解决方案。""", billing,az-docs-pr.zh-cn\billing\billing-cannot-login-subscription.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\billing\billing-cannot-login-subscription.md,https://docs.azure.cn/zh-cn/billing/billing-cannot-login-subscription/
billing-enterprise-api," ""Azure 计费企业 API """," ""了解使 Azure 企业协议客户能够以编程方式提取消耗数据的报告 API。""", billing,az-docs-pr.zh-cn\billing\billing-enterprise-api.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\billing\billing-enterprise-api.md,https://docs.azure.cn/zh-cn/billing/billing-enterprise-api/
billing-enterprise-mgmt-grp-find," ""查看企业协议订阅"""," ""如何在多个目录间导航以查看企业协议订阅。""", billing,az-docs-pr.zh-cn\billing\billing-enterprise-mgmt-grp-find.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\billing\billing-enterprise-mgmt-grp-find.md,https://docs.azure.cn/zh-cn/billing/billing-enterprise-mgmt-grp-find/
billing-get-ea-usage-info," ""下载使用量报告 """," ""了解如何下载企业协议客户使用量报告。""", billing,az-docs-pr.zh-cn\billing\billing-get-ea-usage-info.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\billing\billing-get-ea-usage-info.md,https://docs.azure.cn/zh-cn/billing/billing-get-ea-usage-info/
billing-get-invoice," ""申请中国税务发票 """," ""线上购买的用户可在付款后的3天向世纪互联提出开立中国税务发票的申请。本文将介绍发票系统的注册流程与申请发票的具体操作。""", billing,az-docs-pr.zh-cn\billing\billing-get-invoice.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\billing\billing-get-invoice.md,https://docs.azure.cn/zh-cn/billing/billing-get-invoice/
billing-get-usage-information," ""下载月度使用量报告 """," ""本文将介绍下载使用量报告的具体操作流程。""", billing,az-docs-pr.zh-cn\billing\billing-get-usage-information.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\billing\billing-get-usage-information.md,https://docs.azure.cn/zh-cn/billing/billing-get-usage-information/
billing-getting-started," ""防止意外成本，管理计费 """," ""本文介绍用户如何在使用前评估Azure费用、并在使用过程中了解实际花费。""", billing,az-docs-pr.zh-cn\billing\billing-getting-started.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\billing\billing-getting-started.md,https://docs.azure.cn/zh-cn/billing/billing-getting-started/
billing-how-to-cancel-azure-subscription," ""企业协议客户取消Azure订阅 """," ""介绍企业协议客户如何取消Azure订阅。""", billing,az-docs-pr.zh-cn\billing\billing-how-to-cancel-azure-subscription.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\billing\billing-how-to-cancel-azure-subscription.md,https://docs.azure.cn/zh-cn/billing/billing-how-to-cancel-azure-subscription/
billing-how-to-change-azure-account-profile," ""变更Azure订阅名称与账户联系方式 """," ""本文将介绍变更Azure订阅名称与账户联系方式的具体操作步骤。""", billing,az-docs-pr.zh-cn\billing\billing-how-to-change-azure-account-profile.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\billing\billing-how-to-change-azure-account-profile.md,https://docs.azure.cn/zh-cn/billing/billing-how-to-change-azure-account-profile/
