title,source,ms.service
 如何添加或更改 Azure 管理员订阅角色 ,aogCategory.csv, billing
 无法登陆Azure账号 ,aogCategory.csv, billing
 Azure 计费企业 API ,aogCategory.csv, billing
 查看企业协议订阅,aogCategory.csv, billing
 下载使用量报告 ,aogCategory.csv, billing
 申请中国税务发票 ,aogCategory.csv, billing
 下载月度使用量报告 ,aogCategory.csv, billing
 防止意外成本，管理计费 ,aogCategory.csv, billing
 企业协议客户取消Azure订阅 ,aogCategory.csv, billing
 变更Azure订阅名称与账户联系方式 ,aogCategory.csv, billing
 Azure 门户或 Azure 帐户中心时出现“找不到任何订阅”错误 ,aogCategory.csv, billing
 通过第三方在线支付购买Azure订阅 ,aogCategory.csv, billing
 通过电汇支付标准预付费订阅 ,aogCategory.csv, billing
 为标准预付费订阅续费充值 ,aogCategory.csv, billing
 企业门户中的角色 ,aogCategory.csv, billing
 注册标准预付费订阅 ,aogCategory.csv, billing
 注册1元试用订阅 ,aogCategory.csv, billing
 重新激活禁用的Azure订阅 ,aogCategory.csv, billing
 将Azure企业协议订阅所有权转让给其他帐户 ,aogCategory.csv, billing
 Azure线上注册的常见问题 ,aogCategory.csv, billing
 解读月度使用量报告 ,aogCategory.csv, billing
 看懂月度使用量报告 ,aogCategory.csv, billing
 1元试用订阅升级到标准预付费订阅 ,aogCategory.csv, billing
 将 1 元试用订阅或标准预付费订阅升级到企业协议订阅 ,aogCategory.csv, billing
 通过 Office 365 帐户购买 Azure 订阅 ,aogCategory.csv, billing
 Azure China CDN API doc- preload,aogCategory.csv, cdn
 Azure China CDN API doc- purge,aogCategory.csv, cdn
 Azure China CDN API doc- create endpoint,aogCategory.csv, cdn
 Azure China CDN API doc-delete endpoint,aogCategory.csv, cdn
 Azure China CDN API doc-dsiable endpoint,aogCategory.csv, cdn
 Azure China CDN API doc-enable endpoint,aogCategory.csv, cdn
 Azure China CDN API doc-access control,aogCategory.csv, cdn
 Azure China CDN API doc-cache policy,aogCategory.csv, cdn
 Azure China CDN API doc-get bandwidth,aogCategory.csv, cdn
 Azure China CDN API doc-get usage,aogCategory.csv, cdn
 Azure China CDN API doc-get endpoint,aogCategory.csv, cdn
 Azure China CDN API doc- get operation,aogCategory.csv, cdn
 Azure China CDN API doc-get subscription usage,aogCategory.csv, cdn
 Azure China CDN API doc-get all endpoints under subscription,aogCategory.csv, cdn
 Azure China CDN API doc-preload,aogCategory.csv, cdn
 Azure China CDN API doc-purge,aogCategory.csv, cdn
 Azure China CDN API doc-signature,aogCategory.csv, cdn
 Azure China CDN API doc-update access control,aogCategory.csv, cdn
 Azure China CDN API doc-update cache policy,aogCategory.csv, cdn
 Azure China CDN API doc-update endpoint,aogCategory.csv, cdn
 Azure China CDN API doc,aogCategory.csv, cdn
 Azure CDN FAQ - Azure feature guide,aogCategory.csv, cdn
 Azure CDN FAQ - Azure feature guide,aogCategory.csv, cdn
 Azure CDN FAQ - Azure feature guide,aogCategory.csv, cdn
 How to create Download acceleration type CDN - Azure feature guide,aogCategory.csv, cdn
 How to create Live Streaming acceleration type CDN - Azure feature guide,aogCategory.csv, cdn
 How to create VOD acceleration type CDN - Azure feature guide,aogCategory.csv, cdn
 How to create Web acceleration type CDN - Azure feature guide,aogCategory.csv, cdn
 How to use CDN - Azure feature guide,aogCategory.csv, cdn
 Azure CDN HTTPS加速服务-客供证书,aogCategory.csv, cdn
 How to use CDN - HTTPS,aogCategory.csv, cdn
 Azure China CDN image processing,aogCategory.csv, cdn
 How to useAzure CDN Management Portal advanced features - Azure feature guide,aogCategory.csv, cdn
 Azure CDN Management Portal new version guide,aogCategory.csv, cdn
 Overview of Azure CDN in China - Azure feature guide,aogCategory.csv, cdn
 Azure CDN POP - Azure feature guide,aogCategory.csv, cdn
 Overview of Azure CDN in China - Azure feature guide,aogCategory.csv, cdn
 Azure 开发人员中心： Azure IoT,aogCategory.csv, iot-hub
 Azure 开发人员中心：JAVA,aogCategory.csv, multiple
 Azure 开发人员中心：Media Services,aogCategory.csv, media-services
 Azure 开发人员中心：.NET,aogCategory.csv, multiple
 Azure 开发人员中心：NODEJS,aogCategory.csv, multiple
 Azure 开发人员中心：PHP,aogCategory.csv, multiple
 Azure 开发人员中心：PYTHON,aogCategory.csv, multiple
 Azure 开发人员中心：RUBY,aogCategory.csv, multiple
 Azure 开发人员中心：Azure IoT,aogCategory.csv, iot-hub
 应用服务 - Azure 微软云,aogCategory.csv, multiple
 计算 - Azure 微软云,aogCategory.csv, multiple
 数据服务 - Azure 微软云,aogCategory.csv, multiple
 媒体服务开发人员工具 - Azure 微软云,aogCategory.csv, multiple
 媒体服务资源-Java - Azure 微软云,aogCategory.csv, multiple
 媒体服务资源 - Azure 微软云,aogCategory.csv, multiple
 媒体服务资源 - Azure 微软云,aogCategory.csv, multiple
 移动服务-Android - Azure 微软云,aogCategory.csv, mobile-services
 移动服务-iOS - Azure 微软云,aogCategory.csv, mobile-services
 移动服务-Windows - Azure 微软云,aogCategory.csv, mobile-services
 移动服务-xamarin - Azure 微软云,aogCategory.csv, mobile-services
 Nodejs-应用服务 - Azure 微软云,aogCategory.csv, multiple
 Nodejs-计算 - Azure 微软云,aogCategory.csv, multiple
 Nodejs-数据服务 - Azure 微软云,aogCategory.csv, multiple
 Azure 开发人员中心：开源软件,aogCategory.csv, multiple
 Php-应用服务 - Azure 微软云,aogCategory.csv, multiple
 Php-云服务 - Azure 微软云,aogCategory.csv, multiple
 Php-数据管理 - Azure 微软云,aogCategory.csv, multiple
 Php-工具 - Azure 微软云,aogCategory.csv, multiple
 Php-虚拟机 - Azure 微软云,aogCategory.csv, multiple
 Php-网站 - Azure 微软云,aogCategory.csv, multiple
