Question,Answer,Category,URL
在哪里可以找到与 Azure AD 预先集成的应用程序及其功能的列表？, Azure AD 中包含 Microsoft、应用程序服务提供商和合作伙伴提供的 2600 多个预先集成的应用程序。 所有预先集成的应用程序都支持单一登录 (SSO)。 SSO 允许用户使用组织凭据来访问应用。 某些应用程序还支持自动预配和自动取消预配。\n\n有关预先集成的应用程序的完整列表，请参阅 [Active Directory Marketplace](https://azure.microsoft.com/marketplace/active-directory/)（Active Directory 应用商店）。,active directory,https://docs.azure.cn/active-directory/active-directory-faq
需要多长时间才能将密码写回到 Active Directory 本地？, 密码写回实时运行。,active directory,https://docs.azure.cn/active-directory/active-directory-faq
Azure 订阅管理员与 Azure AD 目录管理员的区别是什么？, 默认情况下，当用户注册 Azure 时，系统会为其分配订阅管理员角色。 订阅管理员可以使用 Microsoft 帐户，也可以使用 Azure 订阅与之关联的目录中的工作或学校帐户。 此角色有权在 Azure 门户中管理服务。\n\n如果其他人需要使用同一个订阅登录和访问服务，则可将其添加为共同管理员。 此角色具有与服务管理员一样的访问特权，但不能更改订阅与 Azure 目录之间的关联关系。 有关订阅管理员的其他信息，请参阅 [Azure 订阅与 Azure Active Directory 的关联方式](https://docs.azure.cn/active-directory/active-directory-how-subscriptions-associated-directory)。\n\nAzure AD 提供另一组管理员角色来管理与目录和标识相关的功能。 这些管理员将有权访问 Azure 门户或 Azure 经典管理门户中的各种功能。 管理员的角色决定了其所能执行的操作，例如创建或编辑用户、向其他用户分配管理角色、重置用户密码、管理用户许可证，或者管理域。 有关 Azure AD 目录管理员及其角色的其他信息，请参阅[在 Azure Active Directory 中分配管理员角色](https://docs.azure.cn/active-directory/active-directory-assign-admin-roles)。\n\n另外，Azure AD 付费型服务（例如企业移动性 + 安全性）可通过综合性的企业级管理和安全解决方案来弥补其他 Web 服务（例如 Office 365 和 Azure）的不足。,active directory,https://docs.azure.cn/active-directory/active-directory-faq
Azure AD、Office 365 与 Azure 之间是什么关系？,"Azure AD 为所有 Web 服务提供通用的标识和访问功能。 不管使用的是 Office 365、Azure、Intune 还是其他服务，都是在使用 Azure AD 为上述所有服务启用登录和访问管理。

可以将所有已设置为使用 Web 服务的用户定义为一个或多个 Azure AD 实例中的用户帐户。 可以在设置这些帐户时启用免费的 Azure AD 功能，例如云应用程序访问。

Azure AD 付费型服务（例如企业移动性 + 安全性）可通过综合性的企业级管理和安全解决方案来弥补其他 Web 服务（例如 Office 365 和 Azure）的不足。",active directory,https://docs.azure.cn/active-directory/active-directory-faq
Azure AD 是否为组织中的用户提供自助服务门户？,Azure AD 提供 [Azure AD 访问面板](https://login.partner.microsoftonline.cn/) ，方便用户使用自助服务以及进行应用程序访问。 如果是 Office 365 客户，可以在 Office 365 门户中找到许多相同的功能。,active directory,https://docs.azure.cn/active-directory/active-directory-faq
Azure AD使用哪些方式来启用对应用程序的身份验证和单一登录？,Azure AD 支持使用多种标准化协议（例如 SAML 2.0、OpenID Connect、OAuth 2.0 和 WS-Federation）进行身份验证和授权。 对于仅支持基于窗体的身份验证的应用程序，Azure AD 还支持密码保管和自动化登录功能。 \n\n有关详细信息，请参阅：\n\n*   [Azure AD 的身份验证方案](https://docs.azure.cn/active-directory/develop/active-directory-authentication-scenarios)\n*   [Active Directory 身份验证协议](https://docs.azure.cn/active-directory/develop/active-directory-developers-guide)\n*   [Azure Active Directory 中单一登录的工作原理是什么？](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#how-does-single-sign-on-with-azure-active-directory-work),active directory,https://docs.azure.cn/active-directory/active-directory-faq
问：Azure AD 可通过哪些不同的方式来启用对应用程序的身份验证和单一登录？,Azure AD 支持使用多种标准化协议（例如 SAML 2.0、OpenID Connect、OAuth 2.0 和 WS-Federation）进行身份验证和授权。 对于仅支持基于窗体的身份验证的应用程序，Azure AD 还支持密码保管和自动化登录功能。 \n\n有关详细信息，请参阅：\n\n*   [Azure AD 的身份验证方案](https://docs.azure.cn/active-directory/develop/active-directory-authentication-scenarios)\n*   [Active Directory 身份验证协议](https://docs.azure.cn/active-directory/develop/active-directory-developers-guide)\n*   [Azure Active Directory 中单一登录的工作原理是什么？](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#how-does-single-sign-on-with-azure-active-directory-work),active directory,https://docs.azure.cn/active-directory/active-directory-faq
是否可以通过报告来查看我的 Azure AD 用户许可证何时过期？,不可以通过报告来查看我的 Azure AD 用户许可证何时过期。 此功能目前不可用。,active directory,https://docs.azure.cn/active-directory/active-directory-faq
如果 Azure AD 应用商店中没有我需要的应用程序怎么办？,使用 Azure AD Premium，可以添加和配置所需的任何应用程序。 可以根据应用程序的功能和自己的喜好来配置 SSO 和自动预配。,active directory,https://docs.azure.cn/active-directory/active-directory-faq
什么是自动用户预配？,使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。,active directory,https://docs.azure.cn/active-directory/active-directory-faq
自动用户预配是什么？,使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。,active directory,https://docs.azure.cn/active-directory/active-directory-faq
问：SaaS 应用程序的自动用户预配是什么？,使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。,active directory,https://docs.azure.cn/active-directory/active-directory-faq
